name,url,location,non-meetup.com?
Rust Colombia,https://www.meetup.com/rust-colombia/,"Medellín, Colombia",no.  
Rust Gdansk,https://www.meetup.com/rust-gdansk/,"Gdansk, Poland",no.  
RustSchool Rotterdam,https://www.meetup.com/RustSchool-Rotterdam/,"Rotterdam, Netherlands",no.  
Rust Rio,https://www.meetup.com/Rust-Rio/,"Rio de Janeiro, Brazil",no.  
Rust Lang Comunidad Mexico,https://www.meetup.com/rustlangmx/,"Guadalajara, Mexico",no.  
Rust - Modern Systems Programming in Leipzig,https://www.meetup.com/rust-modern-systems-programming-in-leipzig/,"Leipzig, Germany",no.  
Rust Perth Meetup Group,https://www.meetup.com/perth-rust-meetup-group/,"Perth, Australia",no.  
Rust Trondheim,https://www.meetup.com/rust-trondheim/,"Trondheim, Norway",no.  
Rust Tbilisi,https://www.meetup.com/tbilisi-rustaceans/,"Tbilisi, Georgia",no.  
Rust Halifax,https://www.meetup.com/rust-tell-halifax/,"Halifax, NS, Canada",no.  
Rust Seoul,https://www.meetup.com/Rust-Seoul/,"Seoul, South Korea",no.  
Canberra Rust User Group,https://www.meetup.com/rust-canberra/,"Canberra, Australia",no.  
Budapest Rust Meetup Group,https://www.meetup.com/budapest-rust-meetup-group/,"Budapest, Hungary",no.  
Paessler Rust Camp 2024,https://www.meetup.com/paessler-rust-camp-2024/,"Nürnbert, Germany",no.  
Rust Taiwan Community,https://github.com/rust-tw/meetup,"Taipei, Taiwan",x
Rust Bordeaux,https://www.meetup.com/bordeaux-rust/,"Bordeaux, France",no.  
Rust Girona,https://www.meetup.com/rust-girona/,"Girona, Spain",no.  
Rust Circle Kampala,https://www.eventbrite.com/o/rust-circle-kampala-65249289033,Online,x
Rust Würzburg Meetup Group,https://www.meetup.com/rust-wurzburg-meetup-group/,"Würzburg, Germany",no.  
Spokane,https://www.meetup.com/spokane-rust/,"Spokane, WA, USA",no.  
Calgary Rust,https://www.eventbrite.ca/o/rust-calgary-63449860593,"Calgary, AB, Canada",x
Rust Indonesia,https://github.com/rustid/meetup,Indonesia,no.  
Chengdu,https://github.com/RPG-Alex/rust-chengdu,"Chengdu, China",no.  
Rust Lyon,https://www.meetup.com/fr-FR/rust-lyon/,"Lyon, France",no.  
Rust Meetup Augsburg,https://www.meetup.com/de-DE/rust-meetup-augsburg/,"Augsburg, Germany",no.  
 Bratislava Rust Meetup Group,https://www.meetup.com/bratislava-rust-meetup-group/,"Bratislava, Slovakia",no.  
Music City Rust Developers,https://www.meetup.com/music-city-rust-developers/,"Nashville, TN, USA",no.  
